resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10,task11,task12,task13,task14,task15
69,4,3,2,2,2,1,3,1,2,1,4,2,1,2,4
70,1,1,2,3,2,2,2,3,1,1,1,4,1,4,1
71,3,1,4,2,4,4,4,1,3,3,1,2,2,1,1
72,2,2,4,1,1,3,4,3,4,4,4,4,4,2,1
73,2,4,3,3,4,2,3,3,3,2,2,1,2,3,3
74,4,4,3,2,4,4,1,3,3,3,4,2,4,3,4
75,4,2,1,1,2,4,1,3,4,3,2,1,3,3,3
76,2,4,2,1,3,2,2,2,2,1,4,3,3,2,4
77,3,3,3,3,4,2,3,2,1,2,2,4,3,3,4
78,1,4,3,3,2,2,1,1,1,3,2,3,4,2,2
79,1,3,3,2,4,2,1,1,1,4,1,3,4,2,2
80,3,4,1,2,4,3,1,1,3,4,4,2,1,4,3
81,2,1,2,4,1,3,3,4,1,2,2,4,3,1,2
82,3,3,1,4,1,1,3,3,1,2,2,3,4,2,4
83,1,1,1,3,4,2,2,3,3,2,1,1,1,2,1
84,4,1,3,3,2,4,3,1,3,4,3,2,3,4,1
85,4,4,2,2,4,3,4,3,1,3,4,4,4,4,3
86,2,4,3,3,1,3,4,2,2,3,1,1,3,4,2
87,2,2,1,1,2,3,4,1,4,2,2,1,1,2,1
88,2,3,1,4,2,2,3,2,4,3,2,2,3,3,3
89,2,3,1,1,4,1,4,4,2,1,1,2,4,3,4
90,4,4,4,1,4,2,2,1,2,3,2,4,3,1,1
91,1,1,1,2,4,2,1,3,3,2,4,2,2,4,4
92,2,2,4,1,4,2,1,4,3,4,3,2,3,3,1
93,4,4,1,3,4,2,1,2,4,3,3,1,1,1,1
94,3,3,4,1,3,4,1,1,4,1,4,2,2,4,3
95,1,3,2,1,4,4,4,4,4,3,3,1,2,2,1
96,3,4,1,3,4,2,2,1,1,4,2,2,1,3,4
97,4,3,3,1,3,4,3,4,1,1,4,1,4,3,3
98,1,3,4,4,2,4,2,1,1,3,1,3,1,2,4
99,2,3,1,4,2,3,1,3,1,1,3,2,1,3,1
100,4,2,2,4,1,3,4,3,3,1,2,1,3,3,2
