resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10,task11,task12,task13,task14,task15
87,4,3,1,2,1,3,2,1,2,4,2,2,2,1,1
88,3,4,2,2,2,2,4,4,4,2,3,3,4,1,4
89,2,2,2,4,1,4,4,1,1,2,1,1,3,1,3
90,1,4,1,1,1,4,1,3,1,1,4,2,1,3,4
91,1,4,2,2,4,2,2,1,2,4,3,4,3,4,2
92,2,2,4,4,3,1,2,3,1,4,4,3,1,2,2
93,1,3,4,1,4,4,3,1,2,4,1,3,2,2,1
94,3,2,3,3,4,1,2,1,2,1,4,3,1,1,1
95,2,4,3,4,4,4,3,4,4,1,2,3,3,3,3
96,2,3,3,2,4,3,1,1,3,1,1,3,2,1,3
97,3,4,2,4,1,4,4,3,4,4,1,2,1,1,2
98,2,2,2,2,1,2,2,1,2,2,2,4,2,4,2
99,4,3,1,1,2,3,4,1,4,3,4,1,3,4,2
100,4,2,2,4,4,3,4,2,4,3,2,1,2,3,1
