resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10
171,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,4.0
172,4.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0
173,1.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0
174,4.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0
175,4.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0,2.0
176,1.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0
177,1.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0
178,3.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,2.0,1.0
179,2.0,2.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,2.0
180,2.0,2.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,2.0
181,2.0,3.0,3.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0
182,4.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0
183,4.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,1.0
184,3.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,4.0
185,2.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0
186,4.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0
187,2.0,3.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0
188,4.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0
189,3.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0
190,3.0,1.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,1.0
191,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0
192,3.0,3.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0
193,3.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0
194,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0
195,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0
196,4.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0
197,3.0,1.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0
198,3.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0
199,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0
200,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0
201,3.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0
202,4.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0
203,2.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,4.0
204,3.0,3.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0
205,4.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0
206,2.0,2.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0
207,2.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,4.0,1.0
208,2.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0
209,2.0,2.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,2.0
210,3.0,4.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0
211,3.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0
212,3.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0
213,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0
214,4.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0
215,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0
216,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0
217,2.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,1.0,2.0
218,4.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0
219,1.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0
220,3.0,2.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,2.0
221,2.0,4.0,3.0,3.0,1.0,1.0,4.0,3.0,2.0,3.0
222,3.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0
223,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,1.0
224,3.0,2.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0
225,1.0,4.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0
226,3.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0
227,2.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0
228,2.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0
229,2.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0
230,2.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0
231,1.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0
232,3.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0
233,3.0,4.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0
234,2.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0
235,4.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0
236,1.0,3.0,4.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0
237,2.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,1.0,3.0
238,1.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0
239,4.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0
240,2.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0
241,1.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0
242,1.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0
243,1.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0
244,2.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0
245,2.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0
246,1.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0
247,1.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0
248,1.0,1.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0
249,3.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0
250,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0
251,4.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0
252,3.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0
253,3.0,1.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0
254,4.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,2.0
255,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0
256,3.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0
257,4.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0
258,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0
259,2.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0
260,4.0,2.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0
261,1.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0
262,3.0,4.0,1.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0
263,2.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0
264,3.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0
265,3.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,4.0,2.0
266,3.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0
267,1.0,4.0,3.0,4.0,3.0,1.0,2.0,3.0,4.0,3.0
268,1.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0
269,3.0,4.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,4.0
270,1.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0
271,4.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0
272,4.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,3.0,4.0
273,1.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0
274,4.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,2.0,4.0
275,4.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0
276,4.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,1.0,4.0
277,4.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0
278,1.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,1.0
279,3.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0
280,2.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0
281,1.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0
282,1.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0
283,4.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0
284,4.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0
285,3.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,1.0
286,3.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0
287,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0
288,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0
289,3.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0
290,1.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0
291,1.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0
292,1.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0
293,1.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0
294,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0
295,2.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,1.0
296,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0
297,1.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0
298,4.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0
299,4.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0
300,1.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0
301,1.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0
302,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0
303,3.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,4.0
304,2.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,2.0,4.0
305,1.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,2.0
306,3.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,1.0,3.0
307,4.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,4.0,2.0
308,3.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,2.0
309,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0
310,2.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0
311,2.0,3.0,2.0,3.0,4.0,1.0,1.0,4.0,1.0,2.0
312,2.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,3.0,3.0
313,1.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
314,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0
315,1.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0
316,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
317,3.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0
318,3.0,1.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0
319,2.0,2.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0
320,3.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0
321,1.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0
322,2.0,3.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,2.0
323,4.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0
324,3.0,2.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0
325,3.0,1.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0
326,2.0,1.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0
327,4.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0
328,4.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,4.0
329,3.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0
330,1.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,4.0,3.0
331,3.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,2.0,3.0
